研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
有色金属行业周报：长十乙火箭回收催化铼需求，EGA重启氧化铝厂缓解铝供给压力,中银证券,2026-07-16 00:00:00.000,工业金属,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=k6uwg4wSl4ZpcffQ2Bf5yJquVKgLHgiCWTsna7n9NWQ=,https://pdf.dfcfw.com/pdf/H3_AP202607161827010374_1.pdf
能源及有色行业2026年中期投资策略：油价大幅波动，坚持科技主线与顺周期共振,东海证券,2026-07-15 00:00:00.000,工业金属,80,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=M/CSFlRTQdMo1SFC0EFZSxCiRsVvDIEgU/5oMZcb6SM=,https://pdf.dfcfw.com/pdf/H3_AP202607151826975496_1.pdf
有色金属行业研究：南太黄金专题：对标刚果（金），重估正当时,国金证券,2026-07-14 00:00:00.000,工业金属,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwty52nmA5CdzD8usFjVhIfFk=,https://pdf.dfcfw.com/pdf/H3_AP202607141826943213_1.pdf
有色金属行业小金属双周谈：看好稀土、钼涨价，重视锡去库加速,国金证券,2026-07-13 00:00:00.000,工业金属,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLbPnmy8KupNyfULE2gaW82c=,https://pdf.dfcfw.com/pdf/H3_AP202607131826917139_1.pdf
有色金属行业报告：中报业绩预告催化叠加基本面支撑，有色集体走强,中邮证券,2026-07-13 00:00:00.000,工业金属,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLZYXpLkZWk5+j9tosM6heqs=,https://pdf.dfcfw.com/pdf/H3_AP202607131826936364_1.pdf
有色金属周报：铝去库加速，重视稀土涨价、锡加速去库,国金证券,2026-07-12 00:00:00.000,工业金属,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pp9kqLH0PKTtwOuvIpK6c90=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912762_1.pdf
有色金属行业研究：钛：商业航天再突破，对日管制或影响供给,国金证券,2026-07-12 00:00:00.000,工业金属,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pp3LC024v0WeyHEH8TP7PeA=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911345_1.pdf
有色金属：枧下窝锂矿有望逐步复产，碳酸锂供需有望逐步向好,太平洋,2026-07-12 00:00:00.000,工业金属,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pgd6GlFYWDoDsBd9+g7mtUI=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911585_1.pdf
中国上市矿业与金属公司2025年回顾及未来展望2026年7月,安永(中国)企业咨询,2026-07-10 00:00:00.000,工业金属,97,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdosTl03IxPAvXdSFBJlYWmU=,https://pdf.dfcfw.com/pdf/H3_AP202607101826859239_1.pdf
有色金属行业未来材料巡礼之深海采矿新材料2：经济性、资本开支结构特征与产业价值量,五矿证券,2026-07-09 00:00:00.000,工业金属,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1dgZcWGpFTU2wFW3jM3lklQ=,https://pdf.dfcfw.com/pdf/H3_AP202607091826834747_1.pdf
有色金属2026中期策略报告：新材料赋能科技浪潮 贵金属静待宽松边际,上海证券,2026-07-09 00:00:00.000,工业金属,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1Vw7/MCWsW4OiAsxwWmkhm0=,https://pdf.dfcfw.com/pdf/H3_AP202607091826840733_1.pdf
