研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
建筑材料行业周报：关注传统建材中报披露，华新建材中报超预期,中邮证券,2026-07-13 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLR/vAEge+8SOyWFzoh0HcU0=,https://pdf.dfcfw.com/pdf/H3_AP202607131826926960_1.pdf
非金属建材周观点：玻璃基板产业进程加快，AI链下半年预期差放大,国金证券,2026-07-12 00:00:00.000,水泥,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pnvaEPxc1efRUZFiFynO6jQ=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913627_1.pdf
灰白基底上的精密革命——低碳转型与定制化需求重塑特种水泥价值曲线 头豹词条报告系列,头豹研究院,2026-07-09 00:00:00.000,水泥,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1bQyrM+WjeQZXIHKH59Wh2U=,https://pdf.dfcfw.com/pdf/H3_AP202607091826850040_1.pdf
建筑材料行业周报：电子布超预期涨价持续，持续看好中国巨石,中邮证券,2026-07-06 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Su/hHSExrt4GUEmSdJnFOjU=,https://pdf.dfcfw.com/pdf/H3_AP202607061826745240_1.pdf
建筑材料行业跟踪周报：海外算力投资短期分歧加大，看好国产算力,东吴证券,2026-07-06 00:00:00.000,水泥,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Sl9UluMc6r1q/IwdIyET5fc=,https://pdf.dfcfw.com/pdf/H3_AP202607061826739512_1.pdf
建筑材料行业报告：电子布涨价持续超预期，供需紧张格局持续全年,中邮证券,2026-06-29 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9MxOa/d1RzpyN27ov3WGs1s=,https://pdf.dfcfw.com/pdf/H3_AP202606291826546730_1.pdf
建材行业2026年下半年投资策略：AI算力革命引爆需求，玻纤量价齐升进入高景气赛道,东莞证券,2026-06-26 00:00:00.000,水泥,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77kb7hqJROpAUCtwBQ60huls=,https://pdf.dfcfw.com/pdf/H3_AP202606261824585564_1.pdf
建筑材料行业周报（2026年第25周）：看好电子布高景气持续，关注传统地产链底部布局机会,国信证券,2026-06-25 00:00:00.000,水泥,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KYip4l9zS0taFYsGMUEYdE=,https://pdf.dfcfw.com/pdf/H3_AP202606251823843180_1.pdf
水泥行业的碳捕获与封存（CCS）概述：常见问题解答,全球碳捕集与封存研究院,2026-06-24 00:00:00.000,水泥,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4LejRVUraIoMTSWGBK4jzRk=,https://pdf.dfcfw.com/pdf/H3_AP202606241823792021_1.pdf
钻针行业研究：PCB加工核心耗材，从棒材、设计、涂层看“通胀”潜力,国金证券,2026-06-23 00:00:00.000,水泥,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dMi/WuvvdOF5sB1Up8wvv24=,https://pdf.dfcfw.com/pdf/H3_AP202606231823762684_1.pdf
非金属材料行业2026年中期投资策略：内需之重下着眼AI产业链等新需求、反内卷和海外,东兴证券,2026-06-23 00:00:00.000,水泥,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dEXTXB17Tvj55iy6s4UCrNY=,https://pdf.dfcfw.com/pdf/H3_AP202606231823760996_1.pdf
建筑材料行业报告：传统建材龙头调整充分，关注风格切换机遇,中邮证券,2026-06-22 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqhPJ9lrkM8JOQ1/dFYNHOTU=,https://pdf.dfcfw.com/pdf/H3_AP202606221823730869_1.pdf
建筑材料行业跟踪周报：短期看红利，中期仍看科技,东吴证券,2026-06-16 00:00:00.000,水泥,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH0ucVpNjwjnnPzThQtG74is=,https://pdf.dfcfw.com/pdf/H3_AP202606161823595214_1.pdf
非金属建材行业周观点：CCL龙头拟增加关联交易额，验证AI产业链高景气,国金证券,2026-06-15 00:00:00.000,水泥,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDKCo+wb4jFZsczO7+hABpso=,https://pdf.dfcfw.com/pdf/H3_AP202606151823557593_1.pdf
建筑材料行业报告：消费建材性价比凸显，关注内需低位品种,中邮证券,2026-06-15 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDJbmRqm+FDSInUVyVg5CxBc=,https://pdf.dfcfw.com/pdf/H3_AP202606151823569103_1.pdf
建筑材料行业周报：美伊停火在即，如何展望投资机会？,华源证券,2026-06-15 00:00:00.000,水泥,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDCXMb15SoVTWE3RlhXsxnLI=,https://pdf.dfcfw.com/pdf/H3_AP202606151823580578_1.pdf
建筑材料行业周报：玻璃基板为何关注度提升？,华源证券,2026-06-10 00:00:00.000,水泥,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEh9Qo3I6vEkb79S9sA5vfHQ=,https://pdf.dfcfw.com/pdf/H3_AP202606101823417198_1.pdf
建筑材料行业周报：市场风格有望高切低，关注内需低位品种,中邮证券,2026-06-08 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7SFd9BiYte+J4UHlImv5qy0=,https://pdf.dfcfw.com/pdf/H3_AP202606081823356441_1.pdf
2026年中国水泥行业：高端突破与全球化进阶（精华版）,头豹研究院,2026-06-04 00:00:00.000,水泥,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sPUp5kN8m7+/x4wzHCDsc0mdx+AIIVvuw2xIDYuSsBg=,https://pdf.dfcfw.com/pdf/H3_AP202606041823256640_1.pdf
建筑材料行业周报：城市更新“十五五”规划印发，建议关注管网需求超预期机会,中邮证券,2026-06-01 00:00:00.000,水泥,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=34IjOVFT7SMXhv7RV89/daR2wrbUsrooPYknTxJ5IJg=,https://pdf.dfcfw.com/pdf/H3_AP202606011823120257_1.pdf
建材行业双周报：城市更新“十五五”规划发布，加大改造将支撑建材需求,东莞证券,2026-06-01 00:00:00.000,水泥,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=34IjOVFT7SMXhv7RV89/dXeb0IgGiRxtOvyYJY/PkAY=,https://pdf.dfcfw.com/pdf/H3_AP202606011823135350_1.pdf
建筑材料行业周报：看好电子布涨价弹性，供需紧张格局持续全年,中邮证券,2026-05-25 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1NwKkQTdoWyAUGLf4Yfa62Y=,https://pdf.dfcfw.com/pdf/H3_AP202605251822852158_1.pdf
水泥行业信用分析报告（2026年5月）,联合资信评估,2026-05-19 00:00:00.000,水泥,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqoyTIUTbioYLeik1/QMv0lVQ=,https://pdf.dfcfw.com/pdf/H3_AP202605191822447921_1.pdf
建材行业双周报：玻纤行业景气度高，防水涂料提价带来盈利改善,东莞证券,2026-05-19 00:00:00.000,水泥,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo2M9jYgvrIsqYYgMl3NIZP8=,https://pdf.dfcfw.com/pdf/H3_AP202605191822431301_1.pdf
建筑材料行业报告：消费建材龙头调整充分，配置性价比凸显,中邮证券,2026-05-18 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCqw6ez8MIqpltlXRa9HnUduU=,https://pdf.dfcfw.com/pdf/H3_AP202605181822393164_1.pdf
超高性能混凝土（UHPC）材料：在建筑幕墙中的应用,弗思特建筑科技,2026-05-17 00:00:00.000,水泥,57,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uQZanFa6Jry1Q2xwq/tytQluds77yeybZ0yCT2LC3Bc=,https://pdf.dfcfw.com/pdf/H3_AP202605161822374627_1.pdf
水泥行业产能管控政策演变、未来方向及企业应对策略,联合资信评估,2026-05-14 00:00:00.000,水泥,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57Wk5TDEBWUf4Q1a+hMC3LFY=,https://pdf.dfcfw.com/pdf/H3_AP202605141822317342_1.pdf
建筑材料行业周报：地产回暖，建材股市表现背离或酝酿机会,华源证券,2026-05-12 00:00:00.000,水泥,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GDHwvqhuKVx7dQsPZUxdSQE=,https://pdf.dfcfw.com/pdf/H3_AP202605121822226033_1.pdf
建材行业2025年年报及2026年一季报综述：玻纤企业盈利大幅提升，防水涂料2026年以来盈利修复,东莞证券,2026-05-12 00:00:00.000,水泥,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GChc9QuIYkdqIGgInhT7ebs=,https://pdf.dfcfw.com/pdf/H3_AP202605121822216573_1.pdf
建筑材料行业周报：5月电子布涨价延续，高景气贯穿全年,中邮证券,2026-05-11 00:00:00.000,水泥,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6fOSu+BUc6ybGSXAZZ0vuIQ=,https://pdf.dfcfw.com/pdf/H3_AP202605111822152022_1.pdf
建筑材料行业2025年年报及2026年一季报综述：传统领域需求低迷业绩承压，新兴市场蓬勃兴起释放潜力,华龙证券,2026-05-11 00:00:00.000,水泥,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6UToBk3z1jouB6BZyBdWmJM=,https://pdf.dfcfw.com/pdf/H3_AP202605111822171863_1.pdf
建筑材料行业深度报告：2025年年报及2026年一季报综述：景气仍在筑底，个别细分赛道表现亮眼,东吴证券,2026-05-10 00:00:00.000,水泥,48,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh6tpAmkclOL9BUDIkBBc4xc=,https://pdf.dfcfw.com/pdf/H3_AP202605101822122482_1.pdf
建筑材料行业跟踪周报：继续看好科技供应链,东吴证券,2026-05-10 00:00:00.000,水泥,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh9AQl1ByllMpvGJ6fURjrbI=,https://pdf.dfcfw.com/pdf/H3_AP202605101822128963_1.pdf
建筑材料行业周报：建材一季报披露完毕，玻纤业绩亮眼，消费建材迎拐点，水泥玻璃筑底,中邮证券,2026-05-06 00:00:00.000,水泥,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vK83LYxZyxfJFYh4NqvDQDL785nnsiLpbU1iqzgHJTA=,https://pdf.dfcfw.com/pdf/H3_AP202605061821994395_1.pdf
建材行业双周报：基建托底固定资产投资，建材企业基本面及业绩分化,东莞证券,2026-05-06 00:00:00.000,水泥,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vK83LYxZyxfJFYh4NqvDQMwacDz86+GwMtl9llFxeoA=,https://pdf.dfcfw.com/pdf/H3_AP202605061821985481_1.pdf
