研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
2026年全球白银行业：金银比仍处低位，供需与金融属性如何再平衡（精华版）,头豹研究院,2026-07-06 00:00:00.000,贵金属,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Sr+xwK1Nra1UesJnxT6vDWg=,https://pdf.dfcfw.com/pdf/H3_AP202607061826752385_1.pdf
有色金属行业周报：美国通胀韧性超预期，加息升温压制金属价格,中银证券,2026-06-29 00:00:00.000,贵金属,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9EU0ck0whJ9/PH/Z3MiFgl0=,https://pdf.dfcfw.com/pdf/H3_AP202606291826521913_1.pdf
贵金属双周报：FOMC及点阵图超预期“放鹰”，加息预期抬升下贵金属承压,华源证券,2026-06-28 00:00:00.000,贵金属,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Yh5OjwBtDn6DxByG8IbUmjeGwnTwnz70CJwBtYZ7Cqg=,https://pdf.dfcfw.com/pdf/H3_AP202606271826509141_1.pdf
贵金属周度观察,国新证券股份,2026-06-25 00:00:00.000,贵金属,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6NVa1pOjerB/BUCzaMSutvc=,https://pdf.dfcfw.com/pdf/H3_AP202606251823828306_1.pdf
有色金属周报：铜下游需求回暖，继续全面看多AI金属稀土钨钼,国金证券,2026-06-22 00:00:00.000,贵金属,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqv9D4lQVSh2HZS/CpyI+1II=,https://pdf.dfcfw.com/pdf/H3_AP202606221823720418_1.pdf
有色金属行业近期黄金市场点评：金价弱势震荡，黄金股有望超跌修复,国新证券股份,2026-06-16 00:00:00.000,贵金属,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH7WG/8BJNy26BDwliOw7os8=,https://pdf.dfcfw.com/pdf/H3_AP202606161823586924_1.pdf
黄金价格调整后有望继续上行,中邮证券,2026-06-15 00:00:00.000,贵金属,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDCloiIgVeT+N9B2ey82CE2Q=,https://pdf.dfcfw.com/pdf/H3_AP202606151823569104_1.pdf
贵金属双周报：非农及通胀数据抬升加息预期，静待下周美联储议息会议,华源证券,2026-06-14 00:00:00.000,贵金属,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZUB1FgBaFaGylLkhnar0BLH7+86a2WYXiMsunNvP5gM=,https://pdf.dfcfw.com/pdf/H3_AP202606131823545369_1.pdf
有色金属行业深度：矿业巨头启示录之七：惠顿贵金属，金属流模式的极致演绎,五矿证券,2026-06-12 00:00:00.000,贵金属,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9wL7sdiwmb9ura8s29RbpZRSSswZ1TkW4n6dHFtA9zw=,https://pdf.dfcfw.com/pdf/H3_AP202606121823507547_1.pdf
有色金属行业点评报告：美国5月非农超预期，金属价格承压,华龙证券,2026-06-10 00:00:00.000,贵金属,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEl2PSjtLKFNKBqhXnqEspow=,https://pdf.dfcfw.com/pdf/H3_AP202606101823418258_1.pdf
有色金属周报：铜铝去库延续，重视钨的第二波和氧化镝涨价,国金证券,2026-06-07 00:00:00.000,贵金属,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SOxGFF6O8NTyB4vEvgjwMrTs=,https://pdf.dfcfw.com/pdf/H3_AP202606071823341512_1.pdf
贵金属双周报：美国4月通胀升至近三年高位，贵金属维持震荡走势,华源证券,2026-05-31 00:00:00.000,贵金属,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmhxOCstAvX8Q0jdpw2F95qE=,https://pdf.dfcfw.com/pdf/H3_AP202605311823107681_1.pdf
黄金板块2025年年报&26Q1季报总结：金价调整后有望再新高，看好板块业绩持续景气,中邮证券,2026-05-18 00:00:00.000,贵金属,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq3HgIEhvE9Ntzb87Anh9Hfg=,https://pdf.dfcfw.com/pdf/H3_AP202605181822393951_1.pdf
贵金属双周报：美国通胀超预期+中东博弈再陷僵局，贵金属冲高回落,华源证券,2026-05-17 00:00:00.000,贵金属,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxdxETDAaDAopj3rRkY4PAU5c=,https://pdf.dfcfw.com/pdf/H3_AP202605171822383356_1.pdf
贵金属双周报：美联储政策分歧与通胀预期升温共同冲击，贵金属震荡走弱,华源证券,2026-05-05 00:00:00.000,贵金属,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zbD6oIZJZXjJlPnE3BOSD0HymT4OpB0XCPJCbNpWQgQ=,https://pdf.dfcfw.com/pdf/H3_AP202605041821954262_1.pdf
近期黄金价格分析与展望：高位震荡，金融与避险属性共驱,国新证券股份,2026-04-23 00:00:00.000,贵金属,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3zM+/lgevqgNeDZUsk4SXo4=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272281_1.pdf
