研报名称,机构名称,发布时间,行业,研报地址
改性塑料：从家电到新能源，千亿市场的 “性能升级王”,深圳汉鼎智库咨询服务,2025-12-22 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/3mWTBCzbS3S7/Zc46MWFIKztxWNR4leB19iGS5pdFw=
改性塑料：从家电到新能源，千亿市场的 “性能升级王”,深圳汉鼎智库咨询服务,2025-12-22,塑料制品,https://pdf.dfcfw.com/pdf/H3_AP202512221805843963_1.pdf?1766423833000.pdf
轮胎行业专题报告（2025年6月）：橡胶等原料价格继续下降，赛轮发布液体黄金轮胎时尚系列新品,信达证券,2025-07-06 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QNfgn8uW7Cx8Y2iVVXDmaPId/xRl/odskkeUQiqyYYI=
化工行业2025年中期策略：“新趋势”持续加强,国金证券,2025-07-01 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ziZdnDuBQv6+RYm0xyMCzjVsI8XuH9ogpgUUjHXCJN4=
新材料周报：生物学领域最大开源AI模型Evo2发布，路博润上海TPU产线投产,山西证券,2025-02-25 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=YjEx1ojKwVPAsBRJl40Q6MvyTVPjgFL4gArgiGHZaO8=
塑料及制品：PEEK材料空间广阔，国内企业积极布局,华金证券,2024-12-04 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DlVRfSpgXeaW+/gQIWqOWQWuEaDYENRaDgAmuzeMJbc=
塑料包装：环保业态转型，塑料包装行业竞争激烈 头豹词条报告系列,头豹研究院,2024-05-16 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QnICnI0cIBP7f1S8fCTNKinmgLlRezaMqdmY30xGfZc=
CPP薄膜行业研究：环保与性能的融合，可持续发展的绿色选择 头豹词条报告系列,头豹研究院,2024-04-22 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=f4cddJnz34JSxH+pw62l7ZnvgxzHDuZKdsxBXYG+xGA=
企业竞争图谱：2024年PVC地板 词条报告系列,头豹研究院,2024-04-11 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=G3jefZogPRScROQZ78D+/ePxGloqFQ7yzlFBiT751Ew=
特种工程塑料专题报告（一）：PEEK、LCP材料需求潜力大，国产替代空间广阔,东莞证券,2024-02-29 00:00:00.000,塑料,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4UDx+LlaM4nuzbfKvbUlwav+4swzpzHIrGmf3S+qJKY=
