研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
综合行业周报：算力需求激增驱动AI电源扩容，关注业绩高增的消费&地产企业,开源证券,2026-07-20 00:00:00.000,综合Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3dbRMHBbtX4EV5B5bc5/Pxs=,https://pdf.dfcfw.com/pdf/H3_AP202607201827124795_1.pdf
综合行业周报：Tower半导体扩产提升业绩指引，Asml业绩超预期,开源证券,2026-07-20 00:00:00.000,综合Ⅱ,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3WaTNphJGUodVsuZzapzXiE=,https://pdf.dfcfw.com/pdf/H3_AP202607201827124792_1.pdf
综合行业周报：全球数控机床市场持续高景气，功率半导体中国厂商加速崛起,开源证券,2026-07-13 00:00:00.000,综合Ⅱ,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLdyHsEVF5PHrBq0Ond9ire4=,https://pdf.dfcfw.com/pdf/H3_AP202607131826917328_1.pdf
综合行业周报：功率半导体单柜价值量有望提升6-8倍，BloomEnergy与Brookfield合作框架翻5倍,开源证券,2026-07-06 00:00:00.000,综合Ⅱ,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SvdHT6GIFlhYpx5I+hqJvI0=,https://pdf.dfcfw.com/pdf/H3_AP202607061826735099_1.pdf
综合行业周报：AI为功率半导体打开百亿美金新增量，稀土管制致中国牙科材料企业迎全球替代窗口,开源证券,2026-06-22 00:00:00.000,综合Ⅱ,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqlgPjOrG7w1oAdeW/9Iu3qA=,https://pdf.dfcfw.com/pdf/H3_AP202606221823715547_1.pdf
综合行业周报：800VDC预计成为数据重心架构发展必然趋势，功率半导体开启AI新周期,开源证券,2026-06-15 00:00:00.000,综合Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDCDNTOTz6zx/6z/tfIsmF80=,https://pdf.dfcfw.com/pdf/H3_AP202606151823557373_1.pdf
综合港股行业深度报告：AI驱动变革，云计算进入新一轮扩张周期,开源证券,2026-06-09 00:00:00.000,综合Ⅱ,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQX4AzqHWjal8dKYwS6ZynSc=,https://pdf.dfcfw.com/pdf/H3_AP202606091823381670_1.pdf
综合行业周报：村田等多家电感厂商发涨价函，618美护国货分化加速,开源证券,2026-06-08 00:00:00.000,综合Ⅱ,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7TRiVFeWba52UDG3VbtiAjY=,https://pdf.dfcfw.com/pdf/H3_AP202606081823350401_1.pdf
综合行业周报：“链接”成AI规模化新瓶颈，HBM扩产拉动TCB设备需求,开源证券,2026-06-08 00:00:00.000,综合Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7YrVWD82j+9KEkBu8nl6e7c=,https://pdf.dfcfw.com/pdf/H3_AP202606081823348898_1.pdf
综合行业周报：SOFC从小众“备用电源”到大众“主力供电”，618大促高端美妆品牌表现亮眼,开源证券,2026-05-25 00:00:00.000,综合Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1DiWmQW1l74Dq3GtiXXQbgE=,https://pdf.dfcfw.com/pdf/H3_AP202605251822845135_1.pdf
综合行业周报：AI算力扩张、存储持续偏紧，设备受益于复杂度提升,开源证券,2026-05-25 00:00:00.000,综合Ⅱ,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1PKGzDfLfob7XclHh6211Dw=,https://pdf.dfcfw.com/pdf/H3_AP202605251822845109_1.pdf
综合行业周报：Bloom Energy业绩飙升订单饱满，津上机床中国业绩亮眼,开源证券,2026-05-05 00:00:00.000,综合Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfcwsmQHRtDerQ+nkCOM1qmeU=,https://pdf.dfcfw.com/pdf/H3_AP202605051821974365_1.pdf
综合行业周报：英伟达开源Alpamayo，禾赛加入“朋友圈”,开源证券,2026-01-11 00:00:00.000,综合Ⅱ,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GXiXWtpteSOXX+ml9b3cqzVSRmwzbDPwdASVxOIJ50A=,https://pdf.dfcfw.com/pdf/H3_AP202601111816922645_1.pdf
综合行业周报：晶圆代工厂涨价，深蓝首批L3车辆上路,开源证券,2025-12-28 00:00:00.000,综合Ⅱ,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=6XT6d6nxZNcP9JXS1dtw9ioxfELxHI668e8PCketbuw=,https://pdf.dfcfw.com/pdf/H3_AP202512281809942533_1.pdf
综合行业周报：存储依然高景气，H200有望获批对华出口,开源证券,2025-12-14 00:00:00.000,综合Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=UuMiCa57Dzl2XEUqskt5gqQX1jks1MTADyu+Qs/+C5g=,https://pdf.dfcfw.com/pdf/H3_AP202512141800269615_1.pdf
综合行业周报：AI需求持续验证，提升算力需求可预见性,开源证券,2025-11-23 00:00:00.000,综合Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Glnla3Q4EgdtXL1+3OVKQELnRdHokERlz0SxTSivoIo=,https://pdf.dfcfw.com/pdf/H3_AP202511231786831125_1.pdf
综合行业周报：AI需求可预见性愈发清晰，关注Robotaxi产业机会,开源证券,2025-11-17 00:00:00.000,综合Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=f66l2rSlD79qQS+WCMOpHv3wxNKoi54a4Qqo58qigIE=,https://pdf.dfcfw.com/pdf/H3_AP202511171782863234_1.pdf
绿色金融新动向：碳资产管理如何推动可持续发展与环境责任 头豹词条报告系列,头豹研究院,2024-08-19 00:00:00.000,综合Ⅱ,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DPU0FQbiFwFXuDZWH4ZcRJhotjnQfPFX6nLgniX6a7s=,https://pdf.dfcfw.com/pdf/H3_AP202408191639342415_1.pdf
