研报名称,机构名称,发布时间,行业,网页链接,PDF直链
家电行业研究：欧洲炎夏催化空调需求，关注中国家电企业出口弹性,国金证券,2026-07-05 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLjrBmQmU6kG/7YP1dcdLfvQ=,https://pdf.dfcfw.com/pdf/H3_AP202607051826728223_1.pdf
智能影像设备系列一：云台相机：小巧出大片，赛道高成长,华源证券,2026-07-02 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqiFSrWU6L9z30R1zOQNmRF8=,https://pdf.dfcfw.com/pdf/H3_AP202607021826653124_1.pdf
家电行业日报：出口链：2026M5家电出口延续高个位数增长，吸尘器高增+52%,太平洋,2026-06-25 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KKaY+m+16eI+DVErfCpTLI=,https://pdf.dfcfw.com/pdf/H3_AP202606251823829366_1.pdf
家电行业研究：5月社零同比承压，重视家电下半年修复机会,国金证券,2026-06-22 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqke86y9/JixTdIf1J3YuL4U=,https://pdf.dfcfw.com/pdf/H3_AP202606221823720812_1.pdf
家电行业周报：两轮车智能化支撑提价，格局加速集中,华源证券,2026-06-21 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95vpzeiHKID1NLm1qoYRzyFA=,https://pdf.dfcfw.com/pdf/H3_AP202606211823711501_1.pdf
家电行业周报：美加墨世界杯开赛，黑电厂商有望受益,华源证券,2026-06-14 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXEEKl3kGyXtLh5yhaLvFjVU=,https://pdf.dfcfw.com/pdf/H3_AP202606141823553653_1.pdf
家电行业研究：5月家电出口量同比+8.8%，环比4月增长提速,国金证券,2026-06-14 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXH23U66s/uG/0gTMG21Of+s=,https://pdf.dfcfw.com/pdf/H3_AP202606141823549286_1.pdf
家电行业周报：AI赋能小家电，打开行业成长新空间,华源证券,2026-06-07 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO4fFufhEJXeUQ4ELsfmlh7Y=,https://pdf.dfcfw.com/pdf/H3_AP202606071823343894_1.pdf
家电行业研究：IDC温控需求释放，中央空调行业结构性机会凸显,国金证券,2026-06-07 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO0LeA2D7/wIMzb1JTh7UKoo=,https://pdf.dfcfw.com/pdf/H3_AP202606071823341511_1.pdf
2026厨房大家电行业简析报告,上海嘉世营销咨询,2026-06-02 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDleO8l4GLbn/cLgvc1Nx+iI=,https://pdf.dfcfw.com/pdf/H3_AP202606021823148830_1.pdf
家电行业研究：6月空冰洗排产较去年同期下降,国金证券,2026-05-31 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmvi8+Vvr+ewF0UR3jHY0ro4=,https://pdf.dfcfw.com/pdf/H3_AP202605311823105588_1.pdf
家电行业日报：出口链：2026M4家电出口转正至+7%，清洁电器延续高增态势,太平洋,2026-05-26 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAScGg7pdXYoh4bcQAzKks9U=,https://pdf.dfcfw.com/pdf/H3_AP202605261822869675_1.pdf
家用电器行业深度报告：3D打印行业：消费级3D打印需求扩容进行时，国产企业承东风起,开源证券,2026-05-25 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1M8jUiWJReF8UtnmzZX7wxQ=,https://pdf.dfcfw.com/pdf/H3_AP202605251822860908_1.pdf
家电行业周报：厄尔尼诺有望拉动家电需求，影石麦克风新品发布,华源证券,2026-05-25 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1PTOop4MIuDLYB7C+qkLjyo=,https://pdf.dfcfw.com/pdf/H3_AP202605251822847140_1.pdf
家电行业研究：4月家电社零增速承压，受高基数效应影响,国金证券,2026-05-24 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627JNdMzOBXDrEgmaA4XUB/4k=,https://pdf.dfcfw.com/pdf/H3_AP202605241822838255_1.pdf
家电行业2025年报及2026年一季报业绩综述：谷底春声近，蓄力待日晴,华源证券,2026-05-22 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GH0mz9OFfdD8HJyjS8PWdJ472zF5r03Zrhv1FH7YVmA=,https://pdf.dfcfw.com/pdf/H3_AP202605221822686698_1.pdf
家电行业周报：安克发布新品Solarbank 4，重新定义阳台光储,华源证券,2026-05-17 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxd4Eqim4h6O8d7JZkYR3JFfk=,https://pdf.dfcfw.com/pdf/H3_AP202605171822385066_1.pdf
家电行业研究：4月家电线上销售整体承压，关注促销季需求边际变化,国金证券,2026-05-17 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxd/Cz96HBNq34ECmVdo+tMT0=,https://pdf.dfcfw.com/pdf/H3_AP202605171822383357_1.pdf
家电行业周报：便携影像赛道高速增长，影石新品发布在即,华源证券,2026-05-10 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh92JRbYBc9AzCqKme04bqMc=,https://pdf.dfcfw.com/pdf/H3_AP202605101822128223_1.pdf
家电行业研究：三星停止中国大陆家电产品销售，5月上旬TV面板价格整体持稳,国金证券,2026-05-10 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh3Y+10UkQaQc2sdTzq9QQfI=,https://pdf.dfcfw.com/pdf/H3_AP202605101822123226_1.pdf
家电：三星全面退出中国家电市场，国产替代持续深化,太平洋,2026-05-08 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLlWfGABge2letEtnTr4qH18=,https://pdf.dfcfw.com/pdf/H3_AP202605081822062702_1.pdf
家电行业周报：家电持仓降至低位，关注一季报超预期标的,华源证券,2026-05-06 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc7dt+mvTwIO7ZhhRdwSXa+A=,https://pdf.dfcfw.com/pdf/H3_AP202605051821973790_1.pdf
家电行业周报：上海楼市回暖，关注地产后周期估值修复,华源证券,2026-04-26 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRNbPtG9i9e3Oy1/j4iycrHA=,https://pdf.dfcfw.com/pdf/H3_AP202604261821594184_1.pdf
家电行业周报：3月家电出口承压，品类区域表现分化,国金证券,2026-04-26 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRHpj1ewl97a6c7m8sTFQyUU=,https://pdf.dfcfw.com/pdf/H3_AP202604261821586282_1.pdf
家电行业周报：北美电动低速车加速渗透，涛涛车业保持高增长,华源证券,2026-04-19 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T670N4YGKs5qlgZWAxvUYxqw=,https://pdf.dfcfw.com/pdf/H3_AP202604191821322530_1.pdf
家电行业周报：3月家电社零、出口增速承压，受基数及错期影响,国金证券,2026-04-19 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T60AN5VoLS1YE9ZhOUiAgoz4=,https://pdf.dfcfw.com/pdf/H3_AP202604191821320586_1.pdf
家电行业研究：索尼True RGB技术发布，RGB-Mini LED加速扩容,国金证券,2026-04-13 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2vzqQteIm/Zzd7vU7BP0qFt0=,https://pdf.dfcfw.com/pdf/H3_AP202604131821144025_1.pdf
家电行业周报：经济性与政策双重驱动，阳台光储有望加速普及,华源证券,2026-04-12 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4p6Dpc5uWa9bYfsijTcvuoWbA2QkdTnp7xCA6cA7nDU=,https://pdf.dfcfw.com/pdf/H3_AP202604121821142063_1.pdf
数码家电行业周度市场观察第13周,艾瑞股份,2026-04-09 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7o3gVp4F9zSrxnaYO6167FXo=,https://pdf.dfcfw.com/pdf/H3_AP202604081821073781_1.pdf
家电行业周报：黑电加速出海，欧洲储能供不应求,华源证券,2026-04-06 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Bj/9+eySjmeu+o4DN7DygqkwKRQOuH2LAn6NYQRZ7AM=,https://pdf.dfcfw.com/pdf/H3_AP202604061821031839_1.pdf
家电行业研究：TCL、索尼双向赋能实现共赢，彩电格局或迎来重构,国金证券,2026-04-06 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Bj/9+eySjmeu+o4DN7DyghAERSwj8dzwcJe9j7I4528=,https://pdf.dfcfw.com/pdf/H3_AP202604061821029067_1.pdf
商社美护行业周报：年报业绩密集披露，多地官宣春假安排,国元证券,2026-04-02 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XGWmSSG17O1invCqsvizviRQ8T7oruXi61n2df3YJ88=,https://pdf.dfcfw.com/pdf/H3_AP202604021820970368_1.pdf
家电行业周报：国际局势推高能源价格，家储及电动两轮车需求提升,华源证券,2026-03-29 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=dAK1ppXG2ZMmjjQE+9CZ5d8Tf9azP1hIBFSJnNiNTvE=,https://pdf.dfcfw.com/pdf/H3_AP202603291820840988_1.pdf
家电行业周报：创想三维提交招股书，3D打印加速普及,华源证券,2026-03-22 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sCCCruEGNuZ6Q3m7hzViQiNE69t1HcBj1UaP0DPlqWc=,https://pdf.dfcfw.com/pdf/H3_AP202603221820688360_1.pdf
数码家电行业周度市场观察第11周,艾瑞股份,2026-03-20 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u3Nt816Iq8ZLMy7d0TYNP/GlElKTZX0FNNoPgvA0bwQ=,https://pdf.dfcfw.com/pdf/H3_AP202603201820669590_1.pdf
家电行业周报（26年第11周）：1-2月家电出口额增长9%，内外销环比积极改善,国信证券,2026-03-17 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=wgy5GfHBY5ZK7yGs2a3VyUUYB1X0DhDKeILgLu3vOYY=,https://pdf.dfcfw.com/pdf/H3_AP202603171820590453_1.pdf
家电行业周报：AWE人气火爆，AI走进物理世界,华源证券,2026-03-15 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0R2EYETtg+Q9187Ah0jQYhc=,https://pdf.dfcfw.com/pdf/H3_AP202603151820566444_1.pdf
2025家用净水市场回顾&2026年展望：从“政策红利”到“内外兼修”,捷孚凯市场咨询,2026-03-15 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0XvodwBMto3nI2TnPEp77+Y=,https://pdf.dfcfw.com/pdf/H3_AP202603151820565020_1.pdf
家电行业周报：OpenClaw现象级火爆，AI NAS渗透率有望加速提升,华源证券,2026-03-08 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zplPou2FUNKcyDNXb0W00fVOe6fM6/t/3kvwORbPoJg=,https://pdf.dfcfw.com/pdf/H3_AP202603081820393907_1.pdf
数码家电行业周度市场观察第9周,艾瑞股份,2026-03-08 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Fx1E+aoB07qcjMtTzapSrkmobUk3sz/PhYo6Vq5qJOg=,https://pdf.dfcfw.com/pdf/H3_AP202603071820374813_1.pdf
家电行业周报：追觅春晚高投入带来高曝光，新兴家电有望迈向“国民化”,华源证券,2026-03-01 00:00:00.000,其他家电Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8i8k756OKMtArLgmB92aQ6ty1iOtl06pP0cjW2DVDXk=,https://pdf.dfcfw.com/pdf/H3_AP202603011820159647_1.pdf
