研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
锡行业专题：供给扰动不断，AI需求成为核心新兴力量,国信证券,2026-06-30 00:00:00.000,能源金属,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc+aQhkfiVZ98tMbS5ovqXUI=,https://pdf.dfcfw.com/pdf/H3_AP202606301826606246_1.pdf
有色金属行业报告：强美元压制，有色继续寻底,中邮证券,2026-06-29 00:00:00.000,能源金属,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9LEs+cMuA4sdQR3CDa3iUXA=,https://pdf.dfcfw.com/pdf/H3_AP202606291826529496_1.pdf
有色金属周报：聚焦卡位精准、需求高增的AI材料,国金证券,2026-06-28 00:00:00.000,能源金属,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46iwTK06iKrj0d7N/OOX/zE0Y=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515857_1.pdf
能源金属行业深度报告：全球锂资源供应全面盘点,华鑫证券,2026-06-18 00:00:00.000,能源金属,55,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=13BnGdH8vQGjruC+csEfjs39phkxO318c98RUEsFS/s=,https://pdf.dfcfw.com/pdf/H3_AP202606181823673317_1.pdf
铷铯行业深度（V）：供需深度拆分下的行业发展窥探-上游刚性供给的垄断与下游科技消费的迭代,东兴证券,2026-06-17 00:00:00.000,能源金属,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb4gKfTHw599laMWBTRsCyuM=,https://pdf.dfcfw.com/pdf/H3_AP202606171823626751_1.pdf
津巴布韦战略矿产事件点评：津巴布韦锂矿干股博弈：以税换股或为中性解,五矿证券,2026-06-08 00:00:00.000,能源金属,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7TPrIs4DUslaoSuiXrJJYLU=,https://pdf.dfcfw.com/pdf/H3_AP202606081823361356_1.pdf
镍行业专题：供需逐步趋紧的关键金属,国信证券,2026-05-25 00:00:00.000,能源金属,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1IqZeeU6XNgVRKXlwStVJH8=,https://pdf.dfcfw.com/pdf/H3_AP202605251822851211_1.pdf
金属行业2026年中期投资策略：地缘压制金属金融属性，中长期基本面依旧稳健,开源证券,2026-05-18 00:00:00.000,能源金属,64,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq2iS3fUqhkUO6Y1eIx2fEpc=,https://pdf.dfcfw.com/pdf/H3_AP202605181822399055_1.pdf
黑色金属周报：铁矿谈判结束，受扰供应开始恢复,国金证券,2026-04-26 00:00:00.000,能源金属,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRAkBJevr/8e7fLktYblZuQ4=,https://pdf.dfcfw.com/pdf/H3_AP202604261821593475_1.pdf
有色金属周报：黄金降波，回调不改继续看好稀土后市表现,国金证券,2026-04-26 00:00:00.000,能源金属,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBROOrOY9CqFH8xPrz/Flqrpg=,https://pdf.dfcfw.com/pdf/H3_AP202604261821593468_1.pdf
