研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
电力设备行业研究周报：能源领域节能降碳行动计划出台，绿色转型进一步清晰,申港证券,2026-07-15 00:00:00.000,电池,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=M/CSFlRTQdMo1SFC0EFZSzLXWOQS3VSumkM7MCmWBAw=,https://pdf.dfcfw.com/pdf/H3_AP202607151826993353_1.pdf
锂电2026年年中策略：需求强劲，盈利向好，开启新周期,东吴证券,2026-07-15 00:00:00.000,电池,108,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt+Rn4zmaCwpv/QuNn227HhY=,https://pdf.dfcfw.com/pdf/H3_AP202607141826966977_1.pdf
电力设备与新能源行业研究：储能锂电遭“莫须有”利空建议抄底，AIDC积极催化密集,国金证券,2026-07-13 00:00:00.000,电池,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLYQd6GkEtwNdiAvtrwiiDwE=,https://pdf.dfcfw.com/pdf/H3_AP202607131826918441_1.pdf
电力设备行业跟踪周报：锂电储能高景气低估值、AIDC&人形空间大,东吴证券,2026-07-13 00:00:00.000,电池,45,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLc9oLjtT4t+0gkGhtE0sQwY=,https://pdf.dfcfw.com/pdf/H3_AP202607131826916924_1.pdf
电力设备行业跟踪报告：广东启动10.3GW海风竞配,万联证券,2026-07-13 00:00:00.000,电池,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLQjzRoXn+mSxbWXwuWoYtac=,https://pdf.dfcfw.com/pdf/H3_AP202607131826936125_1.pdf
电力设备与新能源行业7月第2周周报：国务院印发《“十五五”碳达峰行动方案》,中银证券,2026-07-13 00:00:00.000,电池,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLbWKehVXJmF9LDdsOCQPlEI=,https://pdf.dfcfw.com/pdf/H3_AP202607131826919595_1.pdf
电力设备及新能源：锂电板块业绩亮眼，量利齐升趋势持续,华金证券,2026-07-13 00:00:00.000,电池,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLYCwnIUemb0lF7B7G0A1NAE=,https://pdf.dfcfw.com/pdf/H3_AP202607131826925473_1.pdf
锂电产业链双周报（2026年7月第1期）：电池企业持续斩获储能大单，锂电生产同比快速增长,国信证券,2026-07-12 00:00:00.000,电池,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pujFVHVCle7zdh53bcAkkmw=,https://pdf.dfcfw.com/pdf/H3_AP202607121826910146_1.pdf
电力设备新能源2026年7月投资策略：《新型能源体系建设“十五五”规划》印发，2030年初步建成新型能源体系,国信证券,2026-07-12 00:00:00.000,电池,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pjA5+EFhD0/Gyee5XothBt0=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911480_1.pdf
储能行业分析：短期表象冰与火共存，市场化驱动独立储能前景依然可观,国信证券,2026-07-09 00:00:00.000,电池,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1ZShiazK4NMmPFgjJrMmfos=,https://pdf.dfcfw.com/pdf/H3_AP202607091826832116_1.pdf
2026年半年度锂电行业投资策略报告：把握新周期，聚焦新技术,万联证券,2026-07-09 00:00:00.000,电池,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1QvkWj9whRKc/5GYv6bA7Cw=,https://pdf.dfcfw.com/pdf/H3_AP202607091826843924_1.pdf
全极耳小圆柱电池深度系列：AI算力时代的“隐形刚需”，BBU小圆柱迎放量拐点,东吴证券,2026-07-07 00:00:00.000,电池,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3siFTwx7BRoa89cUABSPURg=,https://pdf.dfcfw.com/pdf/H3_AP202607071826778432_1.pdf
电力设备行业跟踪报告：新技术产业化加速，宁德时代发布商业化钠电储能系统,万联证券,2026-07-07 00:00:00.000,电池,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3oz/aOUzJe5FLuqNjira+tM=,https://pdf.dfcfw.com/pdf/H3_AP202607071826762390_1.pdf
电力设备与新能源行业7月第1周周报：新能汽车景气度持续，光伏新国标发布,中银证券,2026-07-06 00:00:00.000,电池,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Sro5PRYkR6MJbxisUxHOcdE=,https://pdf.dfcfw.com/pdf/H3_AP202607061826735062_1.pdf
