研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
电子行业周报：晶圆代工涨价延续，美光科技长期资本开支上修至2500亿美元,东海证券,2026-07-13 00:00:00.000,半导体,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLeTYDBGbttQ0wVm0nIV70Sg=,https://pdf.dfcfw.com/pdf/H3_AP202607131826936113_1.pdf
电子行业跟踪报告：美光资本开支提速，MLCC龙头厂商订单出货比创新高,万联证券,2026-07-13 00:00:00.000,半导体,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLVR/pABgzZkrWSR1QQJjp2A=,https://pdf.dfcfw.com/pdf/H3_AP202607131826926358_1.pdf
半导体设备行业点评：存储原厂Capex上调，看好半导体设备景气,爱建证券,2026-07-13 00:00:00.000,半导体,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLYvzdulZUaIuVhSLa2roEP0=,https://pdf.dfcfw.com/pdf/H3_AP202607131826936042_1.pdf
2026年算力服务器电源行业词条报告,头豹研究院,2026-07-13 00:00:00.000,半导体,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLbPecz/SYHeWCaK1ySab6/Y=,https://pdf.dfcfw.com/pdf/H3_AP202607131826934479_1.pdf
电子行业周报：存储缺口、Capex能见度达2030年后，Meta Capex加速,开源证券,2026-07-12 00:00:00.000,半导体,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pqdCxxtvcTdcueb17DB+rQU=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912758_1.pdf
电子行业研究：先进制程晶圆代工涨价，关注台积电Q2法说会,国金证券,2026-07-12 00:00:00.000,半导体,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pirngQD32qEEw0wALCtuA9s=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913622_1.pdf
热芯突围——半导体陶瓷加热器国产替代加速期的技术攻坚与市场跃迁 头豹词条报告系列,头豹研究院,2026-07-10 00:00:00.000,半导体,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdkvAeELyowy9Eg4ovqyP6PE=,https://pdf.dfcfw.com/pdf/H3_AP202607101826880063_1.pdf
半导体设备深度：超级扩产周期开启，设备迎来超级时代,国金证券,2026-07-10 00:00:00.000,半导体,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdlrdIB3FRW53aPlG1eQFC+8=,https://pdf.dfcfw.com/pdf/H3_AP202607101826859257_1.pdf
电子行业6月月报：存储涨价效应加速释放，后期价格或高位宽幅震荡,东海证券,2026-07-09 00:00:00.000,半导体,28,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1YNKOq0tei7ZzosddfQ5TY8=,https://pdf.dfcfw.com/pdf/H3_AP202607091826844045_1.pdf
半导体7月投资策略：推荐需求复苏的模拟功率及受益国内扩产的设备材料,国信证券,2026-07-08 00:00:00.000,半导体,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+JghC7RQ7QmTPG/aHm/VYaU=,https://pdf.dfcfw.com/pdf/H3_AP202607081826790255_1.pdf
