研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
油气行业2026年6月月报：6月全球油价大幅下跌，7月美伊谈判反复油价反弹,国信证券,2026-07-17 00:00:00.000,油气开采Ⅱ,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Iw5DNwlhd8IJIl0kgC6mQEZPoitVlyAVm9LsqU0Beuc=,https://pdf.dfcfw.com/pdf/H3_AP202607171827060073_1.pdf
石油化工行业研究：关注国内炼厂采购节奏,国金证券,2026-07-05 00:00:00.000,油气开采Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLjaB+GhgsAEfLVGdXRYglNo=,https://pdf.dfcfw.com/pdf/H3_AP202607051826728224_1.pdf
石油化工行业研究：供应修复预期渐强，地缘风险溢价消退,国金证券,2026-06-29 00:00:00.000,油气开采Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9CYlSyk6o6h83Mo2QyPpdrs=,https://pdf.dfcfw.com/pdf/H3_AP202606291826522293_1.pdf
原油周报：霍尔木兹海峡通行状况改善，油价继续下跌,信达证券,2026-06-29 00:00:00.000,油气开采Ⅱ,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9N1jztNnaRo6sEP1RHD3AJI=,https://pdf.dfcfw.com/pdf/H3_AP202606291826521180_1.pdf
大炼化周报：需求及成本支撑均偏弱，产品价格价差回落,信达证券,2026-06-28 00:00:00.000,油气开采Ⅱ,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46ixxDdc6Izgm2lNMzj7RUIg8=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515452_1.pdf
原油周报：霍尔木兹海峡通行改善，国际油价下跌,东吴证券,2026-06-28 00:00:00.000,油气开采Ⅱ,46,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i5rMXbbetnZUANIUO0+xNxg=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514538_1.pdf
石油石化大周期研究系列煤炭篇：中东冲突凸显我国煤化工优势及煤炭保障能源边际安全能力,东海证券,2026-06-17 00:00:00.000,油气开采Ⅱ,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb1P44Em18MrHW92lPUol2ng=,https://pdf.dfcfw.com/pdf/H3_AP202606171823619726_1.pdf
石化行业2026年中期策略：地缘冲击下的行业新格局,国金证券,2026-06-16 00:00:00.000,油气开采Ⅱ,51,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH//G2N/X1gP9KvLLI6KpufI=,https://pdf.dfcfw.com/pdf/H3_AP202606161823601788_1.pdf
石油化工行业研究：地缘与宏观持续扰动，油价高位宽幅震荡,国金证券,2026-06-07 00:00:00.000,油气开采Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO8vnPYb/qVsv7d1A0xzOeAw=,https://pdf.dfcfw.com/pdf/H3_AP202606071823341514_1.pdf
油气行业2026年4月月报：美以伊冲突持续，油价维持高位，关注霍尔木兹海峡通航情况,国信证券,2026-05-11 00:00:00.000,油气开采Ⅱ,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6bodkdIQ9pYIseNpYI8mfRM=,https://pdf.dfcfw.com/pdf/H3_AP202605111822155399_1.pdf
ESG周报：国家能源局召开能源领域氢能区域试点工作推进会,信达证券,2026-04-19 00:00:00.000,油气开采Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T6/yl8p9XEZeV6G2N98fMIzQ=,https://pdf.dfcfw.com/pdf/H3_AP202604191821318631_1.pdf
油气行业2026年3月月报：受美以伊冲突影响油价暴涨，关注霍尔木兹海峡通航情况,国信证券,2026-04-07 00:00:00.000,油气开采Ⅱ,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XVAfjuZIpCSkgf2k6P2gpfceo7HE4I6RsysqHytBMDc=,https://pdf.dfcfw.com/pdf/H3_AP202604071821046817_1.pdf
石油化工行业研究：冲突预期进一步升级，价格震荡向上,国金证券,2026-04-06 00:00:00.000,油气开采Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Bj/9+eySjmeu+o4DN7DyguN6EDX1eBn1fU7/Uh+NZMU=,https://pdf.dfcfw.com/pdf/H3_AP202604061821030730_1.pdf
石油化工行业研究：特朗普是否TACO成为博弈焦点,国金证券,2026-03-22 00:00:00.000,油气开采Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sCCCruEGNuZ6Q3m7hzViQq8PwOIUGRygm4OfnKAyn50=,https://pdf.dfcfw.com/pdf/H3_AP202603221820687804_1.pdf
原油行业分析框架,国信证券,2026-03-13 00:00:00.000,油气开采Ⅱ,40,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=D2GXqoCoz3tMVb8T97L3amiU/5VFjPNMHAlIGIQGrSo=,https://pdf.dfcfw.com/pdf/H3_AP202603131820554657_1.pdf
油气行业2026年2月月报：受地缘冲突博弈影响，2月油价大幅上涨，关注美伊冲突进展,国信证券,2026-03-09 00:00:00.000,油气开采Ⅱ,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sayaAh9m4uyVUYWKMmQSM03jGQQAfHulYK0cd4FAASY=,https://pdf.dfcfw.com/pdf/H3_AP202603091820408427_1.pdf
原油周报：霍尔木兹海峡通行受阻，国际油价大幅上涨,东吴证券,2026-03-08 00:00:00.000,油气开采Ⅱ,59,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zplPou2FUNKcyDNXb0W00fajLKN6kcLIF16LFV8QpeE=,https://pdf.dfcfw.com/pdf/H3_AP202603081820387352_1.pdf
迈向“双碳”研究系列报告：《中国国内天然气生产碳排放强度指数》（I系列-2024I02）,中石大碳能院软科学智库,2026-02-26 00:00:00.000,油气开采Ⅱ,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=TEd3mUG928C5xLh9mxyBS5uiaALrvUlrxIHST/tEH8c=,https://pdf.dfcfw.com/pdf/H3_AP202602261820053349_1.pdf
