研报名称,机构名称,发布时间,行业,网页链接,PDF直链
阳台光储专题一：政策与需求共振，阳台光储乘风起势,华源证券,2026-06-16 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH0csBc8+75gu5UAGXJ2pW0s=,https://pdf.dfcfw.com/pdf/H3_AP202606161823605789_1.pdf
家电行业26年中期策略报告：重视红利价值，拥抱科技与出海,国金证券,2026-06-08 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7cHmWvBErF/1rlX1UaTzlzw=,https://pdf.dfcfw.com/pdf/H3_AP202606081823362144_1.pdf
家电行业周报：创想三维港股上市，26Q1销量延续高增,华源证券,2026-05-31 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmvS94NeJgQ/MDSbZgADI2/s=,https://pdf.dfcfw.com/pdf/H3_AP202605311823108386_1.pdf
家电行业转型AI算力专题：家电行业焕发新生，AI算力跨界掘金正当时,太平洋,2026-05-14 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57SaDA40vFhxKFgXgBJVnGnE=,https://pdf.dfcfw.com/pdf/H3_AP202605141822301073_1.pdf
2026年618大促家电家居事业群广告白皮书,京准通(北京)检测技术,2026-05-08 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLtb+mQmClKvdFy4xXqhIz08=,https://pdf.dfcfw.com/pdf/H3_AP202605081822065129_1.pdf
家电行业25年报&26Q1总结：景气低位企稳，边际改善可期,国金证券,2026-05-05 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc0JGt9LsjyCo7ANDYkT+XWo=,https://pdf.dfcfw.com/pdf/H3_AP202605051821971941_1.pdf
家电出口链：2026M3家电行业出口金额承压，清洁电器逆势增长+30%,太平洋,2026-04-24 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4LO8t0iXKcRnz7SlZTnyvi8=,https://pdf.dfcfw.com/pdf/H3_AP202604241821559259_1.pdf
「吸尘器及机器人」2026年03月市场报告,蔚云出海(广州)企业咨询,2026-04-22 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=oJHUkvoF+YqNhnlDxd5vJgL5HpXljdKDRnG5mTt07rg=,https://pdf.dfcfw.com/pdf/H3_AP202604221821467464_1.pdf
2026年家用冰箱行业简析报告,上海嘉世营销咨询,2026-04-20 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii75rXrOSQVMZ5MAHfU3Gv/Sg=,https://pdf.dfcfw.com/pdf/H3_AP202604201821352827_1.pdf
2026年轻人智能家电消费洞察报告,哔哩哔哩,2026-04-08 00:00:00.000,白色家电,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7oyUtxZctpJhCslE8SqbmNJY=,https://pdf.dfcfw.com/pdf/H3_AP202604081821072515_1.pdf
